"","idx","time","data"
"1",1,1,27
"2",1,2,16
"3",1,3,18
"4",1,4,19
"5",1,5,21
"6",1,6,20
"7",1,7,20
"8",1,8,23
"9",1,9,26
"10",1,10,21
"11",1,11,17
"12",1,12,24
"13",1,13,8
"14",1,14,1
"15",1,15,3
"16",1,16,4
"17",1,17,7
"18",1,18,13
"19",1,19,6
"20",1,20,2
"21",1,21,12
"22",1,22,8
"23",1,23,5
"24",1,24,4
"25",1,25,11
"26",1,26,8
"27",1,27,5
"28",1,28,2
"29",1,29,3
"30",1,30,4
"31",1,31,5
"32",1,32,6
"33",1,33,2
"34",1,34,3
"35",1,35,5
"36",1,36,10
"37",1,37,20
"38",1,38,23
"39",1,39,14
"40",1,40,20
"41",1,41,23
"42",1,42,17
"43",1,43,7
"44",1,44,13
"45",1,45,17
"46",1,46,12
"47",1,47,15
"48",1,48,10
"49",1,49,15
"50",1,50,9
"51",1,51,14
"52",1,52,15
"53",1,53,12
"54",1,54,13
"55",1,55,16
"56",1,56,13
"57",1,57,15
"58",1,58,16
"59",1,59,21
"60",1,60,12
"61",1,61,14
"62",1,62,15
"63",1,63,21
"64",1,64,20
"65",1,65,12
"66",1,66,14
"67",1,67,11
"68",1,68,15
"69",1,69,20
"70",1,70,11
"71",1,71,11
"72",1,72,19
"73",1,73,13
"74",1,74,19
"75",1,75,18
"76",1,76,14
"77",1,77,6
"78",1,78,15
"79",1,79,21
"80",1,80,17
"81",1,81,14
"82",1,82,12
"83",1,83,8
"84",1,84,17
"85",2,1,10
"86",2,2,7
"87",2,3,14
"88",2,4,9
"89",2,5,18
"90",2,6,14
"91",2,7,8
"92",2,8,22
"93",2,9,13
"94",2,10,14
"95",2,11,15
"96",2,12,6
"97",2,13,2
"98",2,14,8
"99",2,15,4
"100",2,16,5
"101",2,17,4
"102",2,18,4
"103",2,19,4
"104",2,20,2
"105",2,21,4
"106",2,22,6
"107",2,23,7
"108",2,24,6
"109",2,25,8
"110",2,26,2
"111",2,27,5
"112",2,28,4
"113",2,29,7
"114",2,30,6
"115",2,31,4
"116",2,32,3
"117",2,33,5
"118",2,34,6
"119",2,35,6
"120",2,36,7
"121",2,37,13
"122",2,38,7
"123",2,39,15
"124",2,40,12
"125",2,41,11
"126",2,42,10
"127",2,43,9
"128",2,44,12
"129",2,45,9
"130",2,46,16
"131",2,47,9
"132",2,48,10
"133",2,49,14
"134",2,50,10
"135",2,51,9
"136",2,52,7
"137",2,53,15
"138",2,54,9
"139",2,55,14
"140",2,56,7
"141",2,57,8
"142",2,58,12
"143",2,59,18
"144",2,60,19
"145",2,61,16
"146",2,62,15
"147",2,63,16
"148",2,64,15
"149",2,65,8
"150",2,66,19
"151",2,67,16
"152",2,68,20
"153",2,69,11
"154",2,70,13
"155",2,71,12
"156",2,72,8
"157",2,73,13
"158",2,74,15
"159",2,75,13
"160",2,76,9
"161",2,77,17
"162",2,78,22
"163",2,79,11
"164",2,80,19
"165",2,81,11
"166",2,82,12
"167",2,83,20
"168",2,84,10
"169",3,1,194
"170",3,2,184
"171",3,3,208
"172",3,4,190
"173",3,5,217
"174",3,6,211
"175",3,7,212
"176",3,8,195
"177",3,9,209
"178",3,10,181
"179",3,11,228
"180",3,12,185
"181",3,13,73
"182",3,14,74
"183",3,15,100
"184",3,16,91
"185",3,17,91
"186",3,18,112
"187",3,19,125
"188",3,20,113
"189",3,21,93
"190",3,22,91
"191",3,23,73
"192",3,24,72
"193",3,25,77
"194",3,26,89
"195",3,27,87
"196",3,28,81
"197",3,29,102
"198",3,30,74
"199",3,31,107
"200",3,32,106
"201",3,33,78
"202",3,34,100
"203",3,35,95
"204",3,36,80
"205",3,37,183
"206",3,38,175
"207",3,39,201
"208",3,40,210
"209",3,41,172
"210",3,42,193
"211",3,43,206
"212",3,44,205
"213",3,45,172
"214",3,46,182
"215",3,47,185
"216",3,48,170
"217",3,49,197
"218",3,50,189
"219",3,51,201
"220",3,52,208
"221",3,53,199
"222",3,54,207
"223",3,55,204
"224",3,56,202
"225",3,57,206
"226",3,58,207
"227",3,59,210
"228",3,60,228
"229",3,61,194
"230",3,62,166
"231",3,63,198
"232",3,64,225
"233",3,65,204
"234",3,66,183
"235",3,67,205
"236",3,68,239
"237",3,69,200
"238",3,70,191
"239",3,71,167
"240",3,72,206
"241",3,73,205
"242",3,74,180
"243",3,75,196
"244",3,76,192
"245",3,77,210
"246",3,78,198
"247",3,79,193
"248",3,80,190
"249",3,81,186
"250",3,82,181
"251",3,83,198
"252",3,84,169
"253",4,1,77
"254",4,2,76
"255",4,3,89
"256",4,4,73
"257",4,5,80
"258",4,6,85
"259",4,7,81
"260",4,8,81
"261",4,9,77
"262",4,10,93
"263",4,11,71
"264",4,12,83
"265",4,13,45
"266",4,14,32
"267",4,15,44
"268",4,16,44
"269",4,17,57
"270",4,18,60
"271",4,19,65
"272",4,20,48
"273",4,21,58
"274",4,22,52
"275",4,23,51
"276",4,24,60
"277",4,25,79
"278",4,26,76
"279",4,27,62
"280",4,28,75
"281",4,29,90
"282",4,30,84
"283",4,31,86
"284",4,32,145
"285",4,33,109
"286",4,34,110
"287",4,35,118
"288",4,36,55
"289",4,37,116
"290",4,38,154
"291",4,39,133
"292",4,40,138
"293",4,41,158
"294",4,42,146
"295",4,43,138
"296",4,44,167
"297",4,45,103
"298",4,46,119
"299",4,47,117
"300",4,48,104
"301",4,49,110
"302",4,50,101
"303",4,51,113
"304",4,52,107
"305",4,53,124
"306",4,54,133
"307",4,55,124
"308",4,56,128
"309",4,57,131
"310",4,58,127
"311",4,59,115
"312",4,60,131
"313",4,61,116
"314",4,62,124
"315",4,63,116
"316",4,64,97
"317",4,65,116
"318",4,66,133
"319",4,67,122
"320",4,68,95
"321",4,69,137
"322",4,70,131
"323",4,71,122
"324",4,72,129
"325",4,73,142
"326",4,74,115
"327",4,75,105
"328",4,76,67
"329",4,77,102
"330",4,78,90
"331",4,79,93
"332",4,80,103
"333",4,81,103
"334",4,82,82
"335",4,83,76
"336",4,84,81
"337",5,1,21
"338",5,2,15
"339",5,3,8
"340",5,4,15
"341",5,5,18
"342",5,6,14
"343",5,7,17
"344",5,8,25
"345",5,9,10
"346",5,10,20
"347",5,11,16
"348",5,12,16
"349",5,13,23
"350",5,14,24
"351",5,15,17
"352",5,16,27
"353",5,17,22
"354",5,18,18
"355",5,19,14
"356",5,20,31
"357",5,21,17
"358",5,22,15
"359",5,23,14
"360",5,24,17
"361",5,25,8
"362",5,26,16
"363",5,27,21
"364",5,28,12
"365",5,29,25
"366",5,30,18
"367",5,31,21
"368",5,32,29
"369",5,33,19
"370",5,34,22
"371",5,35,16
"372",5,36,27
"373",5,37,12
"374",5,38,20
"375",5,39,13
"376",5,40,26
"377",5,41,23
"378",5,42,15
"379",5,43,16
"380",5,44,8
"381",5,45,10
"382",5,46,12
"383",5,47,17
"384",5,48,10
"385",5,49,11
"386",5,50,12
"387",5,51,16
"388",5,52,12
"389",5,53,13
"390",5,54,14
"391",5,55,17
"392",5,56,14
"393",5,57,10
"394",5,58,19
"395",5,59,14
"396",5,60,10
"397",5,61,12
"398",5,62,19
"399",5,63,11
"400",5,64,18
"401",5,65,22
"402",5,66,18
"403",5,67,15
"404",5,68,20
"405",5,69,17
"406",5,70,20
"407",5,71,12
"408",5,72,21
"409",5,73,15
"410",5,74,6
"411",5,75,10
"412",5,76,17
"413",5,77,18
"414",5,78,13
"415",5,79,23
"416",5,80,14
"417",5,81,22
"418",5,82,26
"419",5,83,24
"420",5,84,19
"421",6,1,13
"422",6,2,11
"423",6,3,8
"424",6,4,11
"425",6,5,16
"426",6,6,10
"427",6,7,12
"428",6,8,11
"429",6,9,13
"430",6,10,10
"431",6,11,8
"432",6,12,6
"433",6,13,22
"434",6,14,10
"435",6,15,11
"436",6,16,21
"437",6,17,18
"438",6,18,16
"439",6,19,9
"440",6,20,9
"441",6,21,9
"442",6,22,3
"443",6,23,8
"444",6,24,12
"445",6,25,12
"446",6,26,11
"447",6,27,12
"448",6,28,10
"449",6,29,8
"450",6,30,20
"451",6,31,11
"452",6,32,15
