"","idx","time","data"
"1",1,1,1149.87
"2",1,2,1053.8002
"3",1,3,1388.8798
"4",1,4,1783.3702
"5",1,5,1921.0252
"6",1,6,2704.9449
"7",1,7,4184.4135
"8",1,8,4148.3542
"9",1,9,2620.7251
"10",1,10,1650.3001
"11",1,11,1115.9201
"12",1,12,1370.6251
"13",1,13,1096.315
"14",1,14,978.46
"15",1,15,1294.685
"16",1,16,1480.4651
"17",1,17,1748.8652
"18",1,18,2216.9202
"19",1,19,4690.5185
"20",1,20,4682.8644
"21",1,21,2459.5799
"22",1,22,1484.4901
"23",1,23,1028.9851
"24",1,24,1109.3649
"25",1,25,960.8751
"26",1,26,896.3501
"27",1,27,1118.6552
"28",1,28,1619.995
"29",1,29,1847.9949
"30",1,30,2367.045
"31",1,31,4991.1601
"32",1,32,4772.9444
"33",1,33,2894.6784
"34",1,34,1860.4801
"35",1,35,1185.1501
"36",1,36,1313.6599
"37",1,37,1160.9151
"38",1,38,1061.5049
"39",1,39,1301.77
"40",1,40,1794.3798
"41",1,41,2106.4551
"42",1,42,2789.035
"43",1,43,4917.8469
"44",1,44,4994.4834
"45",1,45,3016.7542
"46",1,46,1941.5051
"47",1,47,1234.135
"48",1,48,1378.7202
"49",1,49,1182.975
"50",1,50,1081.66
"51",1,51,1424.1101
"52",1,52,1774.535
"53",1,53,2115.4201
"54",1,54,2804.8401
"55",1,55,4849.4979
"56",1,56,4937.4752
"57",1,57,3074.2236
"58",1,58,2063.4252
"59",1,59,1297.3552
"60",1,60,1350.7102
"61",1,61,1224.3601
"62",1,62,1165.8152
"63",1,63,1409.33
"64",1,64,2116.5499
"65",1,65,2357.1351
"66",1,66,2995.0702
"67",1,67,5295.2121
"68",1,68,4957.905
"69",1,69,3321.9593
"70",1,70,2221.1801
"71",1,71,1345.9
"72",1,72,1514.0151
"73",1,73,1239.5502
"74",1,74,1172.1599
"75",1,75,1518.9752
"76",1,76,1996.8751
"77",1,77,2248.6851
"78",1,78,3053.4402
"79",1,79,5019.4534
"80",1,80,5466.7801
"81",1,81,3235.1677
"82",1,82,2157.98
"83",1,83,1379.7252
"84",1,84,1728.04
"85",1,85,1350.1099
"86",1,86,1216.0149
"87",1,87,1751.3252
"88",1,88,1805.3201
"89",1,89,2570.0249
"90",1,90,3204.2402
"91",1,91,5395.72
"92",1,92,6078.8285
"93",1,93,3587.0984
"94",1,94,2285.195
"95",1,95,1582.1899
"96",1,96,1787.4298
"97",1,97,1554.8701
"98",1,98,1409.8649
"99",1,99,1612.125
"100",1,100,2286.2401
"101",1,101,2913.7551
"102",1,102,3645.9085
"103",1,103,5956.7085
"104",1,104,6326.975
"105",1,105,3914.6602
"106",1,106,2617.675
"107",1,107,1675.165
"108",1,108,2139.22
"109",1,109,1715.4899
"110",1,110,1663.5799
"111",1,111,2053.6999
"112",1,112,2354.9299
"113",1,113,3038.5918
"114",1,114,3470.6093
"115",1,115,6606.1834
